,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
0,claim-identifier,0.0,0.0,0.0,0.4853314627231853,0.36501020668140105,0.4002899895179055
1,claim-identifier,0.0,0.0,0.2,0.4877016750845453,0.36413461043281803,0.3972066020816878
2,claim-identifier,0.0,0.0,0.4,0.4904742896843385,0.3705856883068924,0.4023870029203561
3,claim-identifier,0.0,0.0,0.6000000000000001,0.48764306167639,0.362819872588806,0.39630904002982015
4,claim-identifier,0.0,0.0,0.8,0.486521107581344,0.36801625229341495,0.4004708622086124
5,claim-identifier,0.0,0.0,1.0,0.48691968600451346,0.3683430010944333,0.39923246348872654
6,claim-identifier,0.0,0.2,0.0,0.4853314627231853,0.36501020668140105,0.4002899895179055
7,claim-identifier,0.0,0.2,0.2,0.4877016750845453,0.36413461043281803,0.3972066020816878
8,claim-identifier,0.0,0.2,0.4,0.4904742896843385,0.3705856883068924,0.4023870029203561
9,claim-identifier,0.0,0.2,0.6000000000000001,0.48764306167639,0.362819872588806,0.39630904002982015
10,claim-identifier,0.0,0.2,0.8,0.486521107581344,0.36801625229341495,0.4004708622086124
11,claim-identifier,0.0,0.2,1.0,0.48691968600451346,0.3683430010944333,0.39923246348872654
12,claim-identifier,0.0,0.4,0.0,0.4853314627231853,0.36501020668140105,0.4002899895179055
13,claim-identifier,0.0,0.4,0.2,0.4877016750845453,0.36413461043281803,0.3972066020816878
14,claim-identifier,0.0,0.4,0.4,0.48704584882826507,0.3644921773639367,0.3978542744500754
15,claim-identifier,0.0,0.4,0.6000000000000001,0.4883509797177792,0.3636380278582063,0.3980794002132019
16,claim-identifier,0.0,0.4,0.8,0.4850905149472814,0.368859272453802,0.3986630533330158
17,claim-identifier,0.0,0.4,1.0,0.4853585900809523,0.3714787463981743,0.40044088600697314
18,claim-identifier,0.0,0.6000000000000001,0.0,0.4853314627231853,0.36501020668140105,0.4002899895179055
19,claim-identifier,0.0,0.6000000000000001,0.2,0.4714061480120826,0.35059047669642013,0.3862656475510764
20,claim-identifier,0.0,0.6000000000000001,0.4,0.4722079105999879,0.3571626760148755,0.3894480378183631
21,claim-identifier,0.0,0.6000000000000001,0.6000000000000001,0.459918430343516,0.3393160853701046,0.3811318177488661
22,claim-identifier,0.0,0.6000000000000001,0.8,0.4796083888824592,0.35451915617721863,0.39359323783960254
23,claim-identifier,0.0,0.6000000000000001,1.0,0.45779928137684534,0.3574806885362024,0.407781812625888
24,claim-identifier,0.0,0.8,0.0,0.4853314627231853,0.36501020668140105,0.4002899895179055
25,claim-identifier,0.0,0.8,0.2,0.46030404660417523,0.3413683227595983,0.3839675137315548
26,claim-identifier,0.0,0.8,0.4,0.45229221139075776,0.32067401223996167,0.36563732937200066
27,claim-identifier,0.0,0.8,0.6000000000000001,0.46638767064292586,0.33730337962790563,0.37990746169588063
28,claim-identifier,0.0,0.8,0.8,0.45452416492187225,0.32123870630019846,0.3656472871704797
29,claim-identifier,0.0,0.8,1.0,0.44324898339832813,0.35245040927330806,0.4126785565307044
30,claim-identifier,0.2,0.0,0.0,0.44315743846373906,0.33393868554372647,0.37186426796679806
31,claim-identifier,0.2,0.0,0.2,0.44593113483353536,0.3335835271319225,0.3690789152509889
32,claim-identifier,0.2,0.0,0.4,0.44974312848356046,0.3400040497865494,0.3708541809020451
33,claim-identifier,0.2,0.0,0.6000000000000001,0.4455924387107034,0.332074738942467,0.37049082399541555
34,claim-identifier,0.2,0.0,0.8,0.46100213334858503,0.34760450155905337,0.37945433655068295
35,claim-identifier,0.2,0.0,1.0,0.4592911373128622,0.34297381139917127,0.3723902520164962
36,claim-identifier,0.2,0.2,0.0,0.44315743846373906,0.33393868554372647,0.37186426796679806
37,claim-identifier,0.2,0.2,0.2,0.44593113483353536,0.3335835271319225,0.3690789152509889
38,claim-identifier,0.2,0.2,0.4,0.44974312848356046,0.3400040497865494,0.3708541809020451
39,claim-identifier,0.2,0.2,0.6000000000000001,0.4455924387107034,0.332074738942467,0.37049082399541555
40,claim-identifier,0.2,0.2,0.8,0.46100213334858503,0.34760450155905337,0.37945433655068295
41,claim-identifier,0.2,0.2,1.0,0.4592911373128622,0.34297381139917127,0.3723902520164962
42,claim-identifier,0.2,0.4,0.0,0.44315743846373906,0.33393868554372647,0.37186426796679806
43,claim-identifier,0.2,0.4,0.2,0.44593113483353536,0.3335835271319225,0.3690789152509889
44,claim-identifier,0.2,0.4,0.4,0.44347066603947416,0.3338873442354814,0.36588370843260365
45,claim-identifier,0.2,0.4,0.6000000000000001,0.4446809428197854,0.33265802355787194,0.3718005608995255
46,claim-identifier,0.2,0.4,0.8,0.45172021855733135,0.34175556137661456,0.3730625054577473
47,claim-identifier,0.2,0.4,1.0,0.4578978314720333,0.3422848107852917,0.3737153106124317
48,claim-identifier,0.2,0.6000000000000001,0.0,0.44315743846373906,0.33393868554372647,0.37186426796679806
49,claim-identifier,0.2,0.6000000000000001,0.2,0.4299735952912511,0.3199870148959446,0.3580321796546403
50,claim-identifier,0.2,0.6000000000000001,0.4,0.42900103854359073,0.323557883452084,0.3583863861365352
51,claim-identifier,0.2,0.6000000000000001,0.6000000000000001,0.4263384036486513,0.30879067302170166,0.35733162594523143
52,claim-identifier,0.2,0.6000000000000001,0.8,0.43175858404115763,0.31238773155481314,0.3530558141759327
53,claim-identifier,0.2,0.6000000000000001,1.0,0.45864254387888426,0.3468887787685906,0.37712917073358543
54,claim-identifier,0.2,0.8,0.0,0.44315743846373906,0.33393868554372647,0.37186426796679806
55,claim-identifier,0.2,0.8,0.2,0.42229157920281957,0.30801785360304257,0.3560162831481234
56,claim-identifier,0.2,0.8,0.4,0.4096168150379772,0.28916166777411256,0.3388934709042958
57,claim-identifier,0.2,0.8,0.6000000000000001,0.42554377296392326,0.3049794690447316,0.34945023868081715
58,claim-identifier,0.2,0.8,0.8,0.4232859893000479,0.2978928229174511,0.34016031362538524
59,claim-identifier,0.2,0.8,1.0,0.43676322856571015,0.33791700375199407,0.38630810947604133
60,claim-identifier,0.4,0.0,0.0,0.4032224628422336,0.30210706341737537,0.33888675953319325
61,claim-identifier,0.4,0.0,0.2,0.40607219962996693,0.30125357907618544,0.33717758849496565
62,claim-identifier,0.4,0.0,0.4,0.40954214855111737,0.30713835013988233,0.3376542438142419
63,claim-identifier,0.4,0.0,0.6000000000000001,0.3997201560278058,0.2938553850767597,0.3336187154896363
64,claim-identifier,0.4,0.0,0.8,0.4159986318346279,0.31429330852314447,0.34628019956871864
65,claim-identifier,0.4,0.0,1.0,0.43175112736095733,0.32583454512826493,0.3566576966321419
66,claim-identifier,0.4,0.2,0.0,0.4032224628422336,0.30210706341737537,0.33888675953319325
67,claim-identifier,0.4,0.2,0.2,0.40607219962996693,0.30125357907618544,0.33717758849496565
68,claim-identifier,0.4,0.2,0.4,0.40954214855111737,0.30713835013988233,0.3376542438142419
69,claim-identifier,0.4,0.2,0.6000000000000001,0.3997201560278058,0.2938553850767597,0.3336187154896363
70,claim-identifier,0.4,0.2,0.8,0.4159986318346279,0.31429330852314447,0.34628019956871864
71,claim-identifier,0.4,0.2,1.0,0.43175112736095733,0.32583454512826493,0.3566576966321419
72,claim-identifier,0.4,0.4,0.0,0.4032224628422336,0.30210706341737537,0.33888675953319325
73,claim-identifier,0.4,0.4,0.2,0.4035749243279194,0.30125357907618544,0.335828189656265
74,claim-identifier,0.4,0.4,0.4,0.40803341661759085,0.30713835013988233,0.33813223243761625
75,claim-identifier,0.4,0.4,0.6000000000000001,0.3980016059775535,0.29424443151948954,0.3348379156131258
76,claim-identifier,0.4,0.4,0.8,0.4140935039846655,0.3146030755815007,0.3438041820627699
77,claim-identifier,0.4,0.4,1.0,0.4348064539516089,0.3309460490636016,0.36111675453496195
78,claim-identifier,0.4,0.6000000000000001,0.0,0.4032224628422336,0.30210706341737537,0.33888675953319325
79,claim-identifier,0.4,0.6000000000000001,0.2,0.3917136490111002,0.2878755348163391,0.32540465248343114
