,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
0,claim-lexicon,0.0,0.0,0.0,0.4127306282975223,0.30978907225115837,0.34897763312116437
1,claim-lexicon,0.0,0.0,0.2,0.41497330788169273,0.3136183522487035,0.3526449391802229
2,claim-lexicon,0.0,0.0,0.4,0.4167927803975122,0.3151457784661468,0.3516483467292485
3,claim-lexicon,0.0,0.0,0.6000000000000001,0.4202927374029486,0.31804729000926657,0.35599876224772514
4,claim-lexicon,0.0,0.0,0.8,0.42472352703010574,0.321423801213944,0.36383642586706577
5,claim-lexicon,0.0,0.0,1.0,0.4735627483250255,0.35273480644340494,0.3864356453322517
6,claim-lexicon,0.0,0.2,0.0,0.4127306282975223,0.30978907225115837,0.34897763312116437
7,claim-lexicon,0.0,0.2,0.2,0.41497330788169273,0.3136183522487035,0.3526449391802229
8,claim-lexicon,0.0,0.2,0.4,0.4167927803975122,0.3151457784661468,0.3516483467292485
9,claim-lexicon,0.0,0.2,0.6000000000000001,0.4202927374029486,0.31804729000926657,0.35599876224772514
10,claim-lexicon,0.0,0.2,0.8,0.42472352703010574,0.321423801213944,0.36383642586706577
11,claim-lexicon,0.0,0.2,1.0,0.4735627483250255,0.35273480644340494,0.3864356453322517
12,claim-lexicon,0.0,0.4,0.0,0.4127306282975223,0.30978907225115837,0.34897763312116437
13,claim-lexicon,0.0,0.4,0.2,0.41497330788169273,0.3136183522487035,0.3526449391802229
14,claim-lexicon,0.0,0.4,0.4,0.4167927803975122,0.3151457784661468,0.3516483467292485
15,claim-lexicon,0.0,0.4,0.6000000000000001,0.41820675891110437,0.3126678107456834,0.3514338181991772
16,claim-lexicon,0.0,0.4,0.8,0.42472352703010574,0.321423801213944,0.36383642586706577
17,claim-lexicon,0.0,0.4,1.0,0.47082367298543304,0.35515965097494995,0.38807014357509007
18,claim-lexicon,0.0,0.6000000000000001,0.0,0.4127306282975223,0.30978907225115837,0.34897763312116437
19,claim-lexicon,0.0,0.6000000000000001,0.2,0.41840842601621003,0.3158458394137861,0.35856092468677414
20,claim-lexicon,0.0,0.6000000000000001,0.4,0.42017240462303357,0.31692724749648227,0.3577935924353127
21,claim-lexicon,0.0,0.6000000000000001,0.6000000000000001,0.42797153942516336,0.3241851911708925,0.36298829534270194
22,claim-lexicon,0.0,0.6000000000000001,0.8,0.42832642431649004,0.3249128540716576,0.36510002744910114
23,claim-lexicon,0.0,0.6000000000000001,1.0,0.45262464444652517,0.35139922998573825,0.4029028312952473
24,claim-lexicon,0.0,0.8,0.0,0.4127306282975223,0.30978907225115837,0.34897763312116437
25,claim-lexicon,0.0,0.8,0.2,0.4121976363238035,0.3131127560105046,0.349993677082298
26,claim-lexicon,0.0,0.8,0.4,0.4140138059037403,0.3143418125302098,0.34715867320392335
27,claim-lexicon,0.0,0.8,0.6000000000000001,0.41535396002835345,0.3143068558982813,0.3492548941623727
28,claim-lexicon,0.0,0.8,0.8,0.42053757605672476,0.3200465812136879,0.35890526419128654
29,claim-lexicon,0.0,0.8,1.0,0.44324898339832813,0.35245040927330806,0.4126785565307044
